tipo,numero,folder_id
depto,517,1PLBTr6LaXAZoGc14n2CBXOxHgJZyZJR0
depto,518,16IQwYf27upVKMEzQioz2H8GoR7He9khk
depto,519,1AgWWgHfXwQFz8F34xrvyG4eYgrJekzRT
depto,520,1mcCFgFetb2Qad0SA_KJSAPQi53afc2b3
depto,521,1hdgE4lG5ITUppHZTYrXXLhnVt5XQjn_H
depto,522,1a4ZNo-OXByoh7FaqF6RkiMrQUwTSBFsp
depto,523,1tUrQdn-5jPxotxy2BMJTUdZT78NQUual
depto,601,1EdyKs4Ou1SYHJxBX8Ymt20G4Jx22lPky
depto,602,1x3EuaAYZZ68S3gEPmVaZFFG6SKqHP0lb
depto,603,1zaaenqJy0DzjExz33C23T8io3v5hY90F
depto,604,1sYFuhYzRPoetc5eZmO87aZj8bqS9XlA3
depto,605,1-y1n9OVorE0cM9CC-wZ85nyaL4Pmu0tr
depto,606,11OcSDZ1uQqxj54395KZw_Pfaqv60DDrA
depto,608,1qQSfsb14LeAoWrWkovgaS_lRPFAFRUbR
depto,609,1--DBRYkbAesKUDX6HYhwHyW8xPhF0CK3
depto,610,1Idulz9oqIaLCK9n6IxmMssZ1VjBDRCkg
depto,611,1iFaW5NESfhee2l01YtOsSM_uIxfFU0ra
depto,612,1u4TVggIB-WPCytV0VezdvzuW9YXSoh2u
depto,613,1myQyOwRIN-eeQU-6duvQS-OZmREMrR29
depto,614,12_7UIWlWCR-ppxyqe794rFRwTrbCR8u6
depto,615,1CAw6QfP1o-GdoHRtDBK484PHeS0t4udJ
depto,616,18rOzA-_bfNuqKVKumZjWW2i7NFG_bzmB
depto,617,1JJ4gt9ut70vEPe8MoJa7MvBILL9kKIcQ
depto,618,1d1t4DJEY4aYeDE8YPv0ZRQ4upYhc_1iX
depto,619,1ePfT3MHmni_7z4bwt8-YSbQU63uY7uJ5
depto,620,1CuMUQByhNeqfj6keyugipz12BTi6mrot
depto,621,1eAh9-isna00LuzDPUAxyop5i5RZT0_oy
depto,622,1pk0vUCLdPQmWw7b-Llw2gramZSmCl0oh
depto,623,1w8QPJaIUKhkr3rL8dIDl5Xpi0Dlzu_sX
depto,701,1K08ec6LVjtFe34yp6s6RqHzjLHADPaP7
depto,702,1rGtXoRcL9cok2Jm48O7Vj5nLe86ws4o0
depto,703,1rW9qshjNsxcedjEydAQrYVcNj6bdH7O2
depto,704,1AAwlubnMdKCErYs8J_42BlHLAbUgVTqO
depto,705,1sl_O1a76R3jeEXw3HTrqIjC1XFN5nFCv
depto,706,1DtV8ILgb97aiDGdJfcoybHfl3_jRIvFY
depto,707,122VO7_aOzgRe_GzFjFUS6MQipR7X9D0R
depto,708,1IwCnTedCIDF_cszNUro5JX4TkfsjMGvb
depto,709,1Swqt_mVihEjYlppnFfyNvDHX8ytFxS3J
depto,710,1f22UtQyCm3HNA_EifBsVe7nZZDzBkUmR
depto,711,1RpHL0Fmuu561q1_8Og9znulxMn1qgygc
depto,712,1wKWFrAIqkkfr4aDHKJryW3645xmhD-u8
depto,713,1goMGFVJ1IMBRhTta9L4JofsgEDNu0kXS
depto,714,1P65sPhR1jM6vfYwnqTmbZLFfmTKeWrE1
depto,715,1kD-8kJfzobaOZOz_2g8UnrX1Kizx9eha
depto,716,1HSWqubfS0cZScBTgulkRsjWo0L69nFCv
depto,717,1f0Muwq3-WRZW5pagbW9vTH-fgBE1vEHh
depto,718,1IgHE_Hb337JROoufzKRe4lENBELD3GPW
depto,719,1E-ineWk917VB5Hk3AKGAuKUana9VLf0p
depto,720,1VMiya9kDoUl2EB6iadkzJw5uWDT0gZC7
depto,721,1Gp6YRMukxB6HBJdL9yUi6EDob2VExXLB
depto,722,1_HqEWsEtxPSeXvZrw04WyhyRgsa5HFsB
depto,801,1dP6uH1gO95Lp9P2t4OvOebTIXchwgREE
depto,802,1HJSZBH91p_psy0zXEDLwfwusAEGRI4aA
depto,803,1rCZ6Z99U9w5Z9qoMvHJmIkBW4QWCSN7X
depto,804,1svdBS5Tbb2E8g23ABDoIYAPIEJ1tvFJW
depto,805,1yG85rNDNLl0QWDH7jm12YbWt_MzdZJ9k
depto,806,1m89nOp8YKpLTLJicDncZ-zYLBN05CRea
depto,807,1yA01MdJ3ysIjKvjJ1beD9iXlXkcUnBc4
depto,808,17FJw8levoGmLeSpT1R9F6seh2VRuRU2j
depto,809,1suNhJAdhEAMXQ2b-NCDlzOt12i_H8_o4
depto,810,10jzoIjhg90qYikVqcqn4TTF1AMEZLpy3
depto,811,1q2fFZOdqlKPwvIilTe36cmhiJAyGC3En
depto,812,1OBHQ_cnv39J40cwPcIX-uZCITaudg7c1
depto,813,1BtYDQykLyIAoVNv7nCwLQf1_QzLU6UKN
depto,814,1j7HLsrztu6J_zHAHj-BBqzhJUs0QvZm0
depto,815,1lY1cDr9EqCTt2sgIf9yDgXsRru7yNTNL
depto,816,1qb2dgbvKkXdDuQupPlFVDJ4R_HTs-1ks
depto,817,1LJ_IANCeAImI4ixRu3e7urX6n2-W8DIm
depto,818,1Z1f_REFfGKbYzfe3RmXF1ED13590bUVk
depto,819,1mfvurjin5Hdvwn_1JM1RrCqdYRvSv2SD
depto,820,148zCvTTpG-dfSuo9ygALJGtz-4cR1lOl
depto,821,1Y25BC-dNX0U6izPMzQ5JHCOW4iifJYrH
depto,822,1W9H0Pp01Fg_cuMCurC7FULS6K13v2FLd
depto,823,1c1f0Y6V4BQ_brxqclaRtUvuwpfFrUJRC
estac,1,1ojRo5A7bmptql7sdEWxvqA0Qj9rvcVYM
estac,2,1-1o_Wran9luREH0Ai_h28tUuWz9A1KM1
estac,3,1KOaXHT3nXKuuwuu-WfCvStGdH6XMMBG7
estac,4,1tmyxd12SK1KgHoQ7iLX73RHkUxKyfuJ3
estac,7,15P6tZhra4E9WoLNfmQLdDfc_qoiw_8r9
estac,10,1xuo91-ANkxWzZanax0ZoTl6lYbSRtQaH
estac,11,15ivEX6M4HL8-foFXB1aTLauRjQMvCdmt
estac,12,1Dyo8laNRcxh2CieB97Bt7FSURC-E-vMa
estac,13,1j9WUWVMhxWccesbu0dXzadrub_N2R8IF
estac,14,1U2sa5HKeLZ1n2a3WfyQEy4HRr38xoncA
estac,15,1hSTMosycZSwpTKsuTKRo81RX9AFQQxDt
estac,16,1yjxIKYOh0Or4MvwgIqeMzCXxSzp2dk8C
estac,19,1fuSIdYbJ9PXtZ8UNXQbi0_4nWPRsqEr8
estac,20,10A-EkLtjmAtNZLlglE0sns5V_4LmJisY
estac,21,1N4IaboiFNYacJwdGb6Hhd6899RV0CLaA
